ILA-N-129	CMRDM-II-SILANDUS-4
ILA-N-130	CMRDM-II-APHRODISIAS-1
ILA-N-131	CMRDM-II-ATTOUDA-1
ILA-N-132	CMRDM-II-ATTOUDA-2
ILA-N-133	CMRDM-II-ATTOUDA-3
ILA-N-134	CMRDM-II-CIDRAMA-1
ILA-N-135	CMRDM-II-TRAPEZOPOLIS-1
ILA-N-136	CMRDM-II-TRAPEZOPOLIS-2
ILA-N-137	CMRDM-II-TRAPEZOPOLIS-3
ILA-N-138	CMRDM-II-TRAPEZOPOLIS-4
ILA-N-139	CMRDM-II-TRAPEZOPOLIS-5
ILA-N-140	CMRDM-II-ACCILAEUM-1
ILA-N-141	CMRDM-II-ALIA-1
ILA-N-142	CMRDM-II-ALIA-2
ILA-N-143	CMRDM-II-ALIA-3
ILA-N-144	CMRDM-II-ALIA-4
ILA-N-145	CMRDM-II-ALIA-5
ILA-N-146	CMRDM-II-ALIA-6
ILA-N-147	CMRDM-II-ALIA-7
ILA-N-148	CMRDM-II-APAMEIA-1
ILA-N-149	CMRDM-II-CIBYRA-1
ILA-N-150	CMRDM-II-CIBYRA-2
ILA-N-151	CMRDM-II-CIBYRA-3
ILA-N-152	CMRDM-II-CIBYRA-4
ILA-N-153	CMRDM-II-CIBYRA-5
ILA-N-154	CMRDM-II-COLOSSAE-1
ILA-N-155	CMRDM-II-COLOSSAE-2
ILA-N-156	CMRDM-II-ERIZA-1
ILA-N-157	CMRDM-II-GRIMENOTHYRAE-1
ILA-N-158	CMRDM-II-GRIMENOTHYRAE-2
ILA-N-159	CMRDM-II-GRIMENOTHYRAE-3
ILA-N-160	CMRDM-II-GRIMENOTHYRAE-4
ILA-N-161	CMRDM-II-HADRIANOPOLIS-1
ILA-N-162	CMRDM-II-HADRIANOPOLIS-2
ILA-N-163	CMRDM-II-HADRIANOPOLIS-3
ILA-N-164	CMRDM-II-HIERAPOLIS-1
ILA-N-165	CMRDM-II-HIERAPOLIS-2
ILA-N-166	CMRDM-II-HIERAPOLIS-3
ILA-N-167	CMRDM-II-HIERAPOLIS-4
ILA-N-168	CMRDM-II-HIERAPOLIS-5
ILA-N-169	CMRDM-II-HIERAPOLIS-6
ILA-N-170	CMRDM-II-HIERAPOLIS-7
ILA-N-171	CMRDM-II-HIERAPOLIS-8
ILA-N-172	CMRDM-II-HIEROPOLIS-1
ILA-N-173	CMRDM-II-HIEROPOLIS-2
ILA-N-174	CMRDM-II-HYDRELA-1
ILA-N-175	CMRDM-II-HYDRELA-2
ILA-N-176	CMRDM-II-HYDRELA-3
ILA-N-177	CMRDM-II-HYDRELA-4
ILA-N-178	CMRDM-II-HYDRELA-5
ILA-N-179	CMRDM-II-HYRGALEIS-1
ILA-N-180	CMRDM-II-JULIA-1
ILA-N-181	CMRDM-II-JULIA-2
ILA-N-182	CMRDM-II-JULIA-3
ILA-N-183	CMRDM-II-JULIA-4
ILA-N-184	CMRDM-II-LAODICEIA-1
ILA-N-185	CMRDM-II-LAODICEIA-2
ILA-N-186	CMRDM-II-LAODICEIA-3
ILA-N-187	CMRDM-II-LAODICEIA-4
ILA-N-188	CMRDM-II-LAODICEIA-5
ILA-N-189	CMRDM-II-LAODICEIA-6
ILA-N-190	CMRDM-II-METROPOLIS-1
ILA-N-191	CMRDM-II-METROPOLIS-2
ILA-N-192	CMRDM-II-METROPOLIS-3
ILA-N-193	CMRDM-II-MIDAEUM-1
ILA-N-194	CMRDM-II-PALEOBEUDUS-1
ILA-N-195	CMRDM-II-PHILOMELIUM-1
ILA-N-196	CMRDM-II-PHILOMELIUM-2
ILA-N-197	CMRDM-II-PHILOMELIUM-3
ILA-N-198	CMRDM-II-PRYMNESSUS-1
ILA-N-199	CMRDM-II-PRYMNESSUS-2
ILA-N-200	CMRDM-II-SEBASTE-1
ILA-N-201	CMRDM-II-SEBASTE-2
ILA-N-202	CMRDM-II-SEBASTE-3
ILA-N-203	CMRDM-II-SEBASTE-4
ILA-N-204	CMRDM-II-SEBASTE-5
ILA-N-205	CMRDM-II-SIBLIA-1
ILA-N-206	CMRDM-II-SIBLIA-2
ILA-N-207	CMRDM-II-SIBLIA-3
ILA-N-208	CMRDM-II-SIBLIA-4
ILA-N-209	CMRDM-II-SIBLIA-5
ILA-N-210	CMRDM-II-SYNNADA-1
ILA-N-211	CMRDM-II-SYNNADA-2
ILA-N-212	CMRDM-II-SYNNADA-3
ILA-N-213	CMRDM-II-TEMENOTHYRAE-1
ILA-N-214	CMRDM-II-TEMENOTHYRAE-2
ILA-N-215	CMRDM-II-TEMENOTHYRAE-3
ILA-N-216	CMRDM-II-TEMENOTHYRAE-4
ILA-N-217	CMRDM-II-TEMENOTHYRAE-5
ILA-N-218	CMRDM-II-TEMENOTHYRAE-6
ILA-N-219	CMRDM-II-TEMENOTHYRAE-7
ILA-N-220	CMRDM-II-TEMENOTHYRAE-8
ILA-N-221	CMRDM-II-TEMENOTHYRAE-9
ILA-N-222	CMRDM-II-TEMENOTHYRAE-10
ILA-N-223	CMRDM-II-TEMENOTHYRAE-11
ILA-N-224	CMRDM-II-ANTIOCH-1
ILA-N-225	CMRDM-II-ANTIOCH-2
ILA-N-226	CMRDM-II-ANTIOCH-3
ILA-N-227	CMRDM-II-ANTIOCH-4
ILA-N-228	CMRDM-II-ANTIOCH-5
ILA-N-229	CMRDM-II-ANTIOCH-6
ILA-N-230	CMRDM-II-ANTIOCH-7
ILA-N-231	CMRDM-II-ANTIOCH-8
ILA-N-232	CMRDM-II-ANTIOCH-9
ILA-N-233	CMRDM-II-ANTIOCH-10
ILA-N-234	CMRDM-II-ANTIOCH-11
ILA-N-235	CMRDM-II-ANTIOCH-12
