dicitura,occorrenze,markup_interno,schede_ILA
"Lane, II, p. 44, Addenda, no. 1",1,,ILA-078
"Lane, CMRDM I 111",1,,ILA-079
"MAMA, VII, p. 105, no. 486 and Pl. 27",1,,ILA-079
"Lane, I, p. 25, no. 20",1,,ILA-079
"Lane, CMRDM I 112",1,,ILA-080
"Lane, I, p. 26, no. 23, Plate IV, no. 1",1,,ILA-080
"Lane, CMRDM I 113",1,,ILA-081
"Lane, I, p. 26, no. 24, Plate IV, no. 2",1,,ILA-081
"Lane, CMRDM I 114",1,,ILA-082
"Lane, I, p. 26, no. 25, Plate IV, no. 3",1,,ILA-082
"Lane, CMRDM I 115",1,,ILA-083
"Lane, I, p. 26-27, no. 26",1,,ILA-083
"Lane, CMRDM I 116",1,,ILA-084
"Lane, I, p. 27, no. 27, Plate VI, no. 3",1,,ILA-084
"Lane, CMRDM I 117",1,,ILA-085
"Lane, I, p. 27 (unpublished at time of publication)",1,,ILA-085
"Lane, CMRDM I 118",1,,ILA-086
"CIG, II, p. 523, no. 2796",1,,ILA-086
"Le Bas-Waddington, III, p. 393, no. 1601b",1,,ILA-086
"Drexler, op. cit., col. 2698",1,,ILA-086
"O. Liermann, Analecta epigraphica et agonistica, 1889, pp. 17-19, no. III",1,,ILA-086
"MAMA, VIII, (1962) p. 73, no. 406",1,,ILA-086
"Lane, I, p. 27, no. 1",1,,ILA-086
"Robert, Hellenica, XIII, 1965, p. 183 and 285",1,,ILA-086
"Lane, CMRDM I 119",1,,ILA-087
"MAMA, VIII, p. 94, no. 445",1,,ILA-087
"Lane, I, p. 27, no. 2",1,,ILA-087
"Robert, Hellenica, XIII, p. 128, note 2",1,,ILA-087
"Lane, CMRDM I 120",1,,ILA-088
"MAMA, VIII, p. 94, no. 446 and Pl. 36",1,,ILA-088
"Lane, I, p. 27, no. 3",1,,ILA-088
"Robert, Hellenica, XIII, p. 128-9",1,,ILA-088
"Lane, CMRDM I 121",1,,ILA-089
"L. Robert, Hellenica, IX, 1950, p. 39ff. and Plates VI-VIII",1,,ILA-089
"REG, LXIV, 1951, p. 191, no. 217",1,,ILA-089
"Robert, REG, LXV, 1952, p. 176, no. 155",1,,ILA-089
"Bean, JHS, LXXII, 1952, p. 118",1,,ILA-089
"SEG, XVII, 1960, p. 148, no. 545",1,,ILA-089
"Lane, I, p. 43, no. 3",1,,ILA-089
"Lane, CMRDM I 1",1,,ILA-090
"Daremberg-Saglio, Dictionnaire des Antiquités, Paris 1877-1918, III, ii, 1393",1,,ILA-090
"Drexler, in Roscher, Lexikon der griechischen und römischen Mythologie, Leipzig 1884-1937, col. 2731",1,,ILA-090
"H.B. Walters, Classical Review, VIII, 1894, p. 229",1,,ILA-090
"P. Perdrizet, BCH, XX, 1896, p. 81 and Plate XIV",1,,ILA-090
"Lane, Berytus, XV, 1964, p. 7, no. 2 (Lane I)",1,,ILA-090
"Lane, CMRDM I 2",1,,ILA-091
"Daremberg-Saglio, Dictionnaire des Antiquités, III, p. 1393, fig. 4664",1,,ILA-091
"*Katalog der Archaeologischen Ausstellung, Vienna, 1893, no. 1538",1,,ILA-091
"P. Perdrizet, BCH, XX, 1896, p. 82 and Pl. XV",1,,ILA-091
"S. Reinach, Répertoire des reliefs grecs et romains, Paris 1909-12, II, p. 150, no. 3",1,,ILA-091
"*G. Bakalakis, Hellenika Amphiglypha (1946), p. 67",1,,ILA-091
"Lane, I, p. 7, no. 3",1,,ILA-091
"Sale Catalogue, Art of the Ancients, André Emmerich Gallery, N.Y., 1968, no. 44",1,,ILA-091
"Lane, CMRDM I 3",1,,ILA-092
"*Gisbert Cuper, Harpocrates sive explicatio imagunculae argenteae perantiquae, Utrecht, 1687",1,,ILA-092
"*Signa antiqua e museo Jacobi de Wilde, Amsterdam, 1700, p. 41",1,,ILA-092
"Bergk, AZ, 1847, p. 47",1,,ILA-092
"E. Gerhard, AZ, 1850, p. 158-9 and Pl. 15, no. 7",1,,ILA-092
"Wolters, Festschrift für Otto Benndorf, Vienna, 1898, p. 126",1,,ILA-092
"Lane, I, p. 7, no. 4",1,,ILA-092
"Lane, CMRDM I 4",1,,ILA-093
"Lane, I, p. 7, no. 5 and Pl. II, no. 2",1,,ILA-093
"Lane, CMRDM I 5",1,,ILA-094
"A.S. Rousopoulos, Bulletino dell'Instituto di Corrispondenza Archeologica, 1864, p. 47",1,,ILA-094
"C. Lenormant, Monographie de la Voie Sacrée Eleusinienne (1864), I, 85-89",1,,ILA-094
"Perdrizet, BCH, XX, 1896, pp. 78-9",1,,ILA-094
"H. Usener, RM, LV, 1900, p. 295",1,,ILA-094
"A. Brueckner, Der Friedhof am Eridanos, Berlin 1909, pp. 27-28",1,,ILA-094
"IG, II², 4876",1,,ILA-094
"G. Mylonas, Eleusis and the Eleusinian Mysteries, Princeton, 1961, p. 270",1,,ILA-094
"Lane, I, p. 8, no. 9",1,,ILA-094
"Lane, CMRDM I 6",1,,ILA-095
"Drexler, in Roscher, Lexikon, col. 2733-4, fig. 10",1,,ILA-095
"Y. Smirnoff, in Stephanos (Studies Sokolov), St. Petersburg, 1895, pp. 114-117, no. 24, fig. 1",1,,ILA-095
"P. Perdrizet, BCH, XX, 1896, pp. 77-8, fig. 5",1,,ILA-095
"Svoronos, Das Athener Nationalmuseum, Athens 1903-11, Pl. 72, no. 1444",1,,ILA-095
"S. Reinach, Répertoire des Reliefs, II, p. 356, no. 3",1,,ILA-095
"M.P. Nilsson, Geschichte der Griechischen Religion, Munich 1950, II, Pl. 2, no. 2",1,,ILA-095
"Lane, I, p. 8, no. 8 and Plate I, no. 2",1,,ILA-095
"Lane, CMRDM I 7",1,,ILA-096
"Wieseler, Nachrichten der Gesellschaft der Wissenschaften, Göttingen, 1874, p. 14",1,,ILA-096
"idem, Abhandlungen Ges. Wiss. Gatt., XIX, 1874, p. 34",1,,ILA-096
"Drexler, op. cit., col. 2733",1,,ILA-096
"Beschreibung der Antiken Skulpturen, Königliche Museen, Berlin, 1891, pp. 262-3",1,,ILA-096
"Perdrizet, op. cit., p. 80, no. 3",1,,ILA-096
"C. Michel, Recueil d'inscriptions grecques, Paris 1897-1927, no. 1690",1,,ILA-096
"IG, II², 4818",1,,ILA-096
"Lane, I, p. 9, no. 10",1,,ILA-096
"L. Vidman, Sylloge Inscriptionum Religionis Isiacae et Sarapiacae, Berlin, 1969, p. 15, no. 27",1,,ILA-096
"Lane, CMRDM I 8",1,,ILA-097
"IG, II², 4687a",1,,ILA-097
"A. Dain, Inscriptions Grecques du Musée du Louvre, Paris 1933, p. 162, no. 183",1,,ILA-097
"L. Robert, Revue Archéologique, 1933, II, p. 145",1,,ILA-097
"Robert, BCH, LX, 1936, pp. 206ff.",1,,ILA-097
"Lane, I, p. 8, no. 7",1,,ILA-097
"Lane, CMRDM I 9",1,,ILA-098
"C. Wachsmuth, Die Stadt Athen im Alterthum, Leipzig 1874-90, II, i, p. 163, note 1",1,,ILA-098
"*Kumanudes, Athenaion, 8, 1879, p. 294, no. 4",1,,ILA-098
"Drexler, op. cit. col. 2730",1,,ILA-098
"P. Perdrizet, BCH, XX, 1896, p. 75, note 1",1,,ILA-098
"Michel, Recueil, no. 1689",1,,ILA-098
"IG, II², 4685",1,,ILA-098
"Lane, I, p. 8, no. 6",1,,ILA-098
"Lane, CMRDM I 10",1,,ILA-099
"*L. von Sybel, Katalog der Skulpturen zu Athen, Marburg 1881, p. 72, no. 390",1,,ILA-099
"*A. Milchhöfer, Die Museen Athens, Athens 1881, p. 24",1,,ILA-099
"Drexler, op. cit., col. 2730-31, fig. 9",1,,ILA-099
"Smirnoff, Stephanos, p. 122, no. 28, fig. 4",1,,ILA-099
"Perdrizet, op. cit., p. 83 and fig. 6",1,,ILA-099
"Svoronos, Das Athener Nationalmuseum, p. 355, Pl. 69, no. 1406",1,,ILA-099
"Reinach, Répertoire des Reliefs, II, p. 356, no. 4",1,,ILA-099
"IG, II², 4684",1,,ILA-099
"Nilsson, GGR, II, Plate 2, no. 1",1,,ILA-099
"Lane, I, p. 6, no. 1 and Plate I, no. 1",1,,ILA-099
"Lane, CMRDM I 11",1,,ILA-100
"*Kumanudes, Palingenesia, Sept. 23, 1868, no. 3",1,,ILA-100
"Drexler, op. cit., col. 2732",1,,ILA-100
"IG, II², 4856",1,,ILA-100
"Lane, I, p. 9, no. 12",1,,ILA-100
"Lane, CMRDM I 44",1,,ILA-101
"*Fontrier, Harmonia, 20 and 31 May, 1900, no. 5",1,,ILA-101
"Zingerle, op. cit., col. 16-23 and fig. 2",1,,ILA-101
"SEG, IV, p. 124, no. 648",1,,ILA-101
"Herrmann, op. cit., p. 30, note 102 and p. 60, note 231",1,,ILA-101
"Lane, I, p. 18, no. 25",1,,ILA-101
"Lane, CMRDM I 69",1,,ILA-102
"Herrmann, op. cit., p. 30, no. 21, Plate VIII, no. 2",1,,ILA-102
"Robert, REG, LXXVI, 1963, p. 170, no. 235",1,,ILA-102
"Lane, I, p. 50, no. A2",1,,ILA-102
"Petzl, Die Beichtinschriften im römischen Kleinasien und der Fromme und Gerechte Gott (1998), 9-11, Abb. 3",1,,ILA-102
"Lane, CMRDM I 80",1,,ILA-103
"Illustrated London News, July 9, 1960",1,,ILA-103
"L. Robert, Nouvelles Inscriptions de Sardes, Paris, 1964, pp. 23-24, nos. 2 and 3 and Plate II, no. 2",1,,ILA-103
"Lane, I, p. 22, no. 33; Lane II, p. 45, no. 7",1,,ILA-103
"Lane, CMRDM I 83",1,,ILA-104
"K-P, II Reise, pp. 109-110, no. 211",1,,ILA-104
"Robert, Anatolia, III, 1958, p. 128, note 101",1,,ILA-104
"Lane, I, p. 22, no. 36",1,,ILA-104
"Lane, CMRDM I 260",1,,ILA-105
"Lane, I, p. 36, no. 37 and Plate V, no. 1",1,,ILA-105
"Lane, CMRDM I 21",1,,ILA-106
"Archaeologiai Értesitő, XXXV, 1915, p. 45, fig. 3",1,,ILA-106
"N. Gostar, Dacia, N.S., IV, 1960, pp. 519-522",1,,ILA-106
"Robert, REG, LXXV, 1962, p. 192, no. 245",1,,ILA-106
"Lane, I, p. 12, C",1,,ILA-106
"*E. Bujor, Apulum, VI, 1967, p. 186-9, no. 3 and fig. 1-3",1,,ILA-106
"Année Épigraphique, 1967, no. 398",1,,ILA-106
"SEG, XXIV, 1969, no. 1156",1,,ILA-106
"Lane, CMRDM I 12",1,,ILA-107
"W. Gurlitt, Philologus, XXVII, 1868, pp. 729-35",1,,ILA-107
"*A. Cordella, Le Laurion, Marseille, 1871, p. 34-36",1,,ILA-107
"P. Foucart, Des Associations Religieuses chez les Grecs, Paris, 1873, pp. 119-27",1,,ILA-107
"Milchhöfer, AM, XII, 1887, p. 300, no. 279",1,,ILA-107
"Perdrizet, op. cit., p. 84",1,,ILA-107
"IG, II², 1365",1,,ILA-107
"Lane, I, p. 9, no. 13",1,,ILA-107
"Lane, CMRDM I 13",1,,ILA-108
"Gurlitt, loc. cit.",1,,ILA-108
"Cordella, loc. cit.",1,,ILA-108
"Foucart, loc. cit.",1,,ILA-108
"Daremberg-Saglio, loc. cit.",1,,ILA-108
"Milchhöfer, loc. cit.",1,,ILA-108
"Perdrizet, loc. cit.",1,,ILA-108
"Michel, Recueil, 988",1,,ILA-108
"P. Stengel, Hermes, XXXVI, 1901, p. 331-2",1,,ILA-108
"J. Prott and L. Ziehen, Leges Graecorum Sacrae e Titulis Collectae, Leipzig 1906, II, I, 149, p. 148-153",1,,ILA-108
"IG, II², 1366",1,,ILA-108
"W. Dittenberger, Sylloge Inscriptionum Graecarum³, Leipzig, 1915-20, no. 1042",1,,ILA-108
"Lane, I, p. 9, no. 14",1,,ILA-108
"Lane, CMRDM I 23",1,,ILA-109
"CIL, VI, (1876), 499",1,,ILA-109
"H. Dessau, Inscriptiones Latinae Selectae, Berlin, 1892-1914, 4147",1,,ILA-109
"Lane, I, p. 13, no. 2",1,,ILA-109
"R. Duthoy, The Taurobolium, Leiden, 1969, p. 14, no. 13",1,,ILA-109
"Lane, CMRDM I 28",1,,ILA-110
"Mouseion kai Bibliotheke tes Evangelikes Scholes, II, i, 1876, no. ρξς'",1,,ILA-110
"Drexler, op. cit., col. 2697",1,,ILA-110
"Smirnoff, op. cit., p. 91, no. 5",1,,ILA-110
"Dittenberger, SIG³, no. 996",1,,ILA-110
"Lane I, p. 14, no. 1 and II, p. 44, no. 2",1,,ILA-110
"Lane, CMRDM I 122",1,,ILA-111
"M. Collignon, BCH, III, 1879, p. 334, no. 2",1,,ILA-111
"Perdrizet, op. cit., p. 63 and fig. 2",1,,ILA-111
"Lane, I, p. 45, no. 9",1,,ILA-111
"Lane, CMRDM I 123",1,,ILA-112
"Lane, I, p. 45, no. 13 and frontispiece",1,,ILA-112
"Lane, CMRDM I 124",1,,ILA-113
"Bean, AS, IX, 1959, p. 73, no. 12 and Plate XIV",1,,ILA-113
"L. Robert, REG, LXXIV, 1961, p. 241, no. 728",1,,ILA-113
"SEG, XIX, 1963, p. 235, no. 745",1,,ILA-113
"Lane, I, p. 44, no. 6",1,,ILA-113
"Lane, CMRDM I 125",1,,ILA-114
"G.E. Bean, Belleten, XVIII, 1954, pp. 476-7 and 497-99, no. 8",1,,ILA-114
"Robert, REG, LXIX, 1956, pp. 174ff., no. 319",1,,ILA-114
"SEG, XIV, 1957, p. 187, no. 800",1,,ILA-114
"Lane, I, p. 44, no. 5",1,,ILA-114
"Lane, CMRDM I 126",1,,ILA-115
"Ramsay, AJA, IV, 1888, p. 19",1,,ILA-115
"Ramsay, C and B, I, p. 308, no. 120",1,,ILA-115
"Ramsay, The Social Basis of Roman Power in Asia Minor, Aberdeen, 1941, p. 17, no. 6",1,,ILA-115
"Bean, AS, IX, 1959, p. 103, no. 64",1,,ILA-115
"Robert, REG, LXXIV, 1961, p. 242, no. 738",1,,ILA-115
"SEG, XIX, p. 249, no. 796",1,,ILA-115
"Lane, I, p. 44, no. 7",1,,ILA-115
"Lane, CMRDM I 127",1,,ILA-116
"MAMA, IV, (1933) p. 83-84, no. 230 and Pl. 49",1,,ILA-116
"Lane, I, p. 45, no. 10",1,,ILA-116
"Lane, CMRDM I 128",1,,ILA-117
"Bean, AS, IX, 1959, p. 111, no. 81 and Pl. XX",1,,ILA-117
"Robert, REG, LXXIV, 1961, p. 243, no. 741",1,,ILA-117
"SEG, XIX, p. 254, no. 814",1,,ILA-117
"Lane, I, pp. 44-45, no. 8",1,,ILA-117
"Lane, CMRDM I 129",1,,ILA-118
"Bean, AS, X, 1960, p. 65, no. 115",1,,ILA-118
"Robert, REG, LXXIV, 1961, p. 244, no. 748",1,,ILA-118
"SEG, XIX, p. 263, no. 847",1,,ILA-118
"Lane, I, p. 45, no. 11",1,,ILA-118
"Lane, CMRDM I 130",1,,ILA-119
"Ramsay, JHS, IV, 1883, p. 417, no. 32",1,,ILA-119
"Drexler, op. cit., col. 2723",1,,ILA-119
"Perdrizet, op. cit., p. 69",1,,ILA-119
"H. Rott, Kleinasiatische Denkmäler aus Pisidien, Pamphylien, Kilikien, und Lykien (Studien über christliche Denkmäler, V-VI, Leipzig, 1908), p. 348, no. 1",1,,ILA-119
"Robert, Hellenica, VI, 1948, p. 34",1,,ILA-119
"Lane, I, p. 45, no. 12",1,,ILA-119
"Lane, CMRDM I 132",1,,ILA-120
"Sterrett, Wolfe Expedition (ASCSA III, 1884-5), p. 206-214, nos. 339-342",1,,ILA-120
"G. Kaibel, Hermes, XXIII, 1888, p. 532ff.",1,,ILA-120
"Perdrizet, op. cit., p. 68, no. 2",1,,ILA-120
"F. Heinevetter, Würfel- und Buchstabenorakel, Breslau, 1912, no. 3",1,,ILA-120
"Lane, I, p. 42, no. 1",1,,ILA-120
"Lane, CMRDM I 133",1,,ILA-121
"Karl Lanckoronski, Städte Pamphyliens und Pisidiens, Vienna, 1890-92, II, pp. 220-223, no. 180",1,,ILA-121
"R. Heberdey, Termessos (Denkschriften, LXIX, 3), 1929, p. 131",1,,ILA-121
"TAM, III, i, (1941) no. 34, pp. 22-33",1,,ILA-121
"Lane, CMRDM I 134",1,,ILA-122
"H.A. Ormerod, JHS, XXXII, 1912, pp. 270-276",1,,ILA-122
"Lane, CMRDM I 135",1,,ILA-123
"TAM, II, iii, (1944) 1222",1,,ILA-123
"Lane, CMRDM I 136",1,,ILA-124
"H. Barth, RM, VII, 1850, p. 251",1,,ILA-124
"Hirschfeld, Akademie der Wissenschaften, Berichte, Berlin, 1875, p. 716",1,,ILA-124
"G. Kaibel, Epigrammata Graeca, Berlin, 1878, no. 1038",1,,ILA-124
"A.M. Woodward, JHS, XXX, 1910, pp. 260-62",1,,ILA-124
"Heinevetter, op. cit., no. 1",1,,ILA-124
"Lane, CMRDM I 137",1,,ILA-125
"*Leiden Museum Annual Report, 1896-7, pp. 5-6",1,,ILA-125
"U. Hiesinger, HSCP, LXXI, 1966, pp. 306-7 and Plate III",1,,ILA-125
"Lane, II, p. 46, no. 10",1,,ILA-125
"Lane, CMRDM I 138",1,,ILA-126
"Hiesinger, op. cit., pp. 303-306, Plates I-II",1,,ILA-126
"Lane, II, p. 46, no. 9",1,,ILA-126
"Lane, CMRDM I 139",1,,ILA-127
"Sotheby and Co., Catalogue, May 17, 1965, p. 46, no. 193",1,,ILA-127
"Hiesinger, op. cit., pp. 307-8 and Plate IV",1,,ILA-127
"Lane II, p. 46, no. 11",1,,ILA-127
"Lane, CMRDM I 140",1,,ILA-128
"Antiken aus dem akademischen Kunstmuseum Bonn, Düsseldorf, 1969, p. 77, no. 80 and Pl. 51",1,,ILA-128
"Lane, CMRDM I 141",1,,ILA-129
"Perdrizet, BCH XX, 1896, p. 72, fig. 3",1,,ILA-129
"Lane I, p. 15, no. 4",1,,ILA-129
"Lane, CMRDM I 142",1,,ILA-130
"Daremberg-Saglio, III, ii, p. 1395, fig. 4671",1,,ILA-130
"T. Homolle, BCH, XXIII, 1899, p. 389 and Plate I",1,,ILA-130
"M.P. Nilsson, GGR, II, Plate 13, no. 1",1,,ILA-130
"Rostovzeff, SEHRE², p. 256, Plate 46, no. 1",1,,ILA-130
"Lane, I, p. 25, no. 22",1,,ILA-130
"Lane, CMRDM I 143",1,,ILA-131
"Sterrett, Wolfe Expedition, p. 174, no. 284",1,,ILA-131
"Drexler, op. cit., col. 2719-20",1,,ILA-131
"Perdrizet, op. cit., p. 68, no. 1",1,,ILA-131
"Lane, I, pp. 45-46, no. 1",1,,ILA-131
"Lane, CMRDM I 144",1,,ILA-132
"H. Swoboda, J. Keil, and F. Knoll, Denkmäler aus Lykäonien, Pamphylien, und Isaurien, Prague, 1935, p. 18, no. 18",1,,ILA-132
"Lane, I, p. 46, no. 1a",1,,ILA-132
"Lane, CMRDM I 145",1,,ILA-133
"Sterrett, Epigraphical Journey (ASCSA II, 1883-4), p. 200, no. 211",1,,ILA-133
"Perdrizet, op. cit., p. 69, no. 5",1,,ILA-133
"Lane I, p. 46, no. 2",1,,ILA-133
"Lane, CMRDM I 146",1,,ILA-134
"G. Radet and P. Paris, BCH, X, 1886, p. 503, no. 6",1,,ILA-134
"Perdrizet, op. cit., p. 69, no. 6",1,,ILA-134
"H.S. Cronin, JHS, XXII, 1902, p. 118, no. 42",1,,ILA-134
"W.H. Buckler et al., JRS, XIV, 1924, p. 47 bottom",1,,ILA-134
"Lane I, p. 46, no. 4",1,,ILA-134
"Lane, CMRDM I 147",1,,ILA-135
"H.S. Cronin, JHS, XXII, 1902, pp. 346-7, no. 82",1,,ILA-135
"Lane, I, p. 46, no. 5",1,,ILA-135
"Lane, CMRDM I 148",1,,ILA-136
"Cronin, op. cit., p. 356, no. 112",1,,ILA-136
"Lane, I, p. 46, no. 6",1,,ILA-136
"Lane, CMRDM I 149",1,,ILA-137
"W.M. Calder, Revue de Philologie, XXXVI, 1912, p. 66, no. 33",1,,ILA-137
"W.H. Buckler et al., JRS, XIV, 1924, p. 47, no. 37 and Plate VIII",1,,ILA-137
"SEG, VI, 1932, p. 76, no. 427",1,,ILA-137
"Lane, II, p. 46, no. 1a",1,,ILA-137
"Lane, CMRDM I 150",1,,ILA-138
"Calder, op. cit., p. 65, no. 30",1,,ILA-138
"Lane, II, p. 46, no. 1b",1,,ILA-138
"Lane, CMRDM I 151",1,,ILA-139
"CIG, 4008",1,,ILA-139
"Ramsay, JHS, XXXVIII, 1918, p. 168, no. X",1,,ILA-139
"Lane, I, p. 47, no. 9",1,,ILA-139
"Lane, CMRDM I 152",1,,ILA-140
"Cronin, JHS, XXII, 1902, p. 125, no. 59",1,,ILA-140
"Lane, I, p. 47, no. 10",1,,ILA-140
"Lane, CMRDM I 153",1,,ILA-141
"W.H. Buckler et al., JRS, XIV, 1924, p. 25, no. 1",1,,ILA-141
"JRS, XVIII, 1928, p. 38, bottom",1,,ILA-141
"SEG, VI, p. 71, no. 401",1,,ILA-141
"Lane, I, p. 48, no. 2; Lane, II, p. 47",1,,ILA-141
"Lane, CMRDM I 154",1,,ILA-142
"Sterrett, Wolfe Expedition, p. 146, no. 251",1,,ILA-142
"Drexler, op. cit., col. 2726",1,,ILA-142
"Perdrizet, op. cit., p. 69, no. 4",1,,ILA-142
"Ramsay, Social Basis, p. 196, no. 204",1,,ILA-142
"Lane, I, p. 46, no. 3",1,,ILA-142
"Lane, CMRDM I 155",1,,ILA-143
"T.A. Callander, Studies in the History and Art of the Eastern Provinces, Aberdeen 1906, p. 160, no. 9",1,,ILA-143
"H. Swoboda et al., Denkmäler, p. 18",1,,ILA-143
"Lane, I, p. 46, no. 7",1,,ILA-143
"Lane, CMRDM I 156",1,,ILA-144
"Callander, op. cit., p. 164, no. 23",1,,ILA-144
"Swoboda et al., op. cit., p. 18",1,,ILA-144
"Lane, I, p. 47, no. 8",1,,ILA-144
"Lane, CMRDM I 157",1,,ILA-145
"J.G.C. Anderson, JHS, XIX, 1899, p. 96, no. 76",1,,ILA-145
"Lane, I, p. 48, no. 1",1,,ILA-145
"Lane, CMRDM I 158",1,,ILA-146
"L. Robert, Hellenica, X, 1955, p. 15 and Plate IV",1,,ILA-146
"Lane, I, p. 48, no. 3",1,,ILA-146
"Lane, CMRDM I 159",1,,ILA-147
"L. Robert, Hellenica, X, 1955, pp. 15-16 and Plate XXX",1,,ILA-147
"Lane, CMRDM I 160",1,,ILA-148
"G.L. Cheesman, JRS, III, 1913, p. 258, no. 3",1,,ILA-148
"Année Épigraphique, 1914, p. 373, no. 261",1,,ILA-148
"Lane, I, p. 30, no. 3",1,,ILA-148
"Lane, CMRDM I 161",1,,ILA-149
"J.G.C. Anderson, JRS, III, 1913, p. 269, no. 2",1,,ILA-149
"Lane, I, p. 40, no. 6",1,,ILA-149
"Lane, CMRDM I 162",1,,ILA-150
"J.G.C. Anderson, op. cit., p. 271, no. 6",1,,ILA-150
"Année Épigraphique, 1914, p. 374",1,,ILA-150
"Lane, I, p. 30, no. 9",1,,ILA-150
"Lane, CMRDM I 163",1,,ILA-151
"W.M. Calder, JRS, II, 1912, p. 93, no. 22",1,,ILA-151
"Lane, I, p. 31, no. 10",1,,ILA-151
"Lane, CMRDM I 164",1,,ILA-152
"J.G.C. Anderson, JRS, III, 1913, p. 287, no. 12 and fig. 62",1,,ILA-152
"Lane, I, p. 33, no. 17",1,,ILA-152
"Lane, CMRDM I 165",1,,ILA-153
"J.G.C. Anderson, op. cit., p. 288, no. 13 and fig. 63",1,,ILA-153
"Lane, I, p. 33, no. 18",1,,ILA-153
"Lane, CMRDM I 166",1,,ILA-154
"J.G.C. Anderson, op. cit., p. 288, no. 14 and Plate XXI",1,,ILA-154
"Année Épigraphique, 1914, p. 374, no. 263",1,,ILA-154
"Lane, I, p. 33, no. 19",1,,ILA-154
"Lane, CMRDM I 167",1,,ILA-155
"J.G.C. Anderson, op. cit., p. 289, no. 16 and Plate XXII",1,,ILA-155
"Lane, I, p. 33, no. 21",1,,ILA-155
"Lane, CMRDM I 168",1,,ILA-156
"J.G.C. Anderson, op. cit., p. 289, no. 17 and fig. 65",1,,ILA-156
"Lane, I, p. 33, no. 22",1,,ILA-156
"Lane, CMRDM I 169",1,,ILA-157
"J.G.C. Anderson, op. cit., p. 290, no. 18 and fig. 66",1,,ILA-157
"Lane, I, p. 34, no. 23",1,,ILA-157
"Lane, CMRDM I 170",1,,ILA-158
"J.G.C. Anderson, op. cit., p. 291, no. 19, Plate XXIII",1,,ILA-158
"Lane, I, p. 34, no. 24",1,,ILA-158
"Lane, CMRDM I 171",1,,ILA-159
"J.G.C. Anderson, op. cit., p. 291, no. 20 and fig. 67",1,,ILA-159
"Lane, I, p. 34, no. 25",1,,ILA-159
"Lane, CMRDM I 172",1,,ILA-160
"J.G.C. Anderson, JRS, III, 1913, p. 293, no. 21 and fig. 68",1,,ILA-160
"Lane, I, p. 34, no. 26",1,,ILA-160
"Lane, CMRDM I 173",1,,ILA-161
"J.G.C. Anderson, op. cit., p. 293, no. 22 and fig. 69",1,,ILA-161
"Lane, I, p. 34, no. 27",1,,ILA-161
"Lane, CMRDM I 174",1,,ILA-162
"J.G.C. Anderson, op. cit., p. 294-5, no. 23 and fig. 70",1,,ILA-162
"Année Épigraphique, 1914, p. 374, no. 264",1,,ILA-162
"Lane, I, p. 34, no. 28",1,,ILA-162
"Lane, CMRDM I 175",1,,ILA-163
"Mendel, Catalogue, III, p. 591, no. 1380",1,,ILA-163
"J.G.C. Anderson, JRS, III, 1913, p. 274-6 and fig. 54",1,,ILA-163
"Lane, I, p. 35, no. 31",1,,ILA-163
"Lane, CMRDM I 176",1,,ILA-164
"Mendel, Catalogue, III, p. 592, no. 1381",1,,ILA-164
"J.G.C. Anderson, JRS, III, 1913, p. 273 and Plate XX",1,,ILA-164
"Lane, I, p. 35, no. 32",1,,ILA-164
"Lane, CMRDM I 177",1,,ILA-165
"Mendel, Catalogue, III, no. 1382, p. 592-3",1,,ILA-165
"Lane, I, p. 35, no. 33",1,,ILA-165
"Lane, CMRDM I 178",1,,ILA-166
"W.I. Hamilton, Researches in Asia Minor, Pontus, and Armenia, London, 1842, no. 180",1,,ILA-166
"J.C. Orelli and W. Henzen, Inscriptionum Latinarum Selectarum Amplissima Collectio, vol. III, Zurich, 1856, no. 6157",1,,ILA-166
"Le Bas-Waddington, III, i, p. 446, no. 1818",1,,ILA-166
"CIL, III, (1873-1902), 295 and 6829",1,,ILA-166
"Sterrett, Epigraphical Journey, p. 129, no. 101",1,,ILA-166
"Ramsay, Cities of St. Paul, London, 1907, p. 286",1,,ILA-166
"Social Basis, p. 143, no. 148",1,,ILA-166
"Lane, I, p. 36, no. 34",1,,ILA-166
"Lane, CMRDM I 179",1,,ILA-167
"M. Hardie, JHS, XXXII, 1912, p. 121, no. 1, fig. 9",1,,ILA-167
"Lane, I, p. 36, no. 1",1,,ILA-167
"Lane, CMRDM I 180",1,,ILA-168
"Hardie, JHS, XXXII, 1912, p. 123, no. 2 and fig. 9",1,,ILA-168
"Lane, I, p. 36, no. 2",1,,ILA-168
"Lane, CMRDM I 181",1,,ILA-169
"Hardie, JHS, XXXII, 1912, p. 124, no. 3 and fig. 9",1,,ILA-169
"John Ferguson, The Religions of the Roman Empire, Ithaca, 1970, p. 217",1,,ILA-169
"Lane, I, p. 36, no. 3",1,,ILA-169
"Lane, CMRDM I 182",1,,ILA-170
"Hardie, JHS, XXXII, 1912, p. 125, no. 4 and fig. 9",1,,ILA-170
"Lane, I, p. 37, no. 4",1,,ILA-170
"Lane, CMRDM I 183",1,,ILA-171
"Hardie, JHS, XXXII, 1912, p. 126, no. 5 and fig. 9",1,,ILA-171
"Lane, I, p. 37, no. 5",1,,ILA-171
"Lane, CMRDM I 184",1,,ILA-172
"Hardie, JHS, XXXII, 1912, p. 126, no. 6 and fig. 9",1,,ILA-172
"Lane, I, p. 37, no. 6",1,,ILA-172
