scheda,lane_ref,famiglia,lemma,sotto_funzione,forma_attestata,cert,verifica
ILA-137,"Lane, CMRDM I 149",formula-fissa,κεχολωμένος,imprecazione,κεχολωμένον,,auto
ILA-138,"Lane, CMRDM I 150",formula-fissa,κεχολωμένος,imprecazione,κεχολωμένον,,auto
ILA-142,"Lane, CMRDM I 154",formula-fissa,κεχολωμένος,imprecazione,κεχολωμένους,low,auto
ILA-015,"Lane, CMRDM I 43",formula-fissa,σκῆπτρον,imprecazione,σκῆπτρον,,auto
ILA-033,"Lane, CMRDM I 62",formula-fissa,σκῆπτρον,imprecazione,σκῆπτρον,,auto
ILA-041,"Lane, CMRDM I 71",formula-fissa,σκῆπτρον,imprecazione,σκήπτρα,,auto
ILA-101,"Lane, CMRDM I 44",formula-fissa,σκῆπτρον,imprecazione,σκῆπτρον,,auto
ILA-102,"Lane, CMRDM I 69",formula-fissa,σκῆπτρον,imprecazione,σκήπτρον,,auto
ILA-094,"Lane, CMRDM I 5",formula-fissa,χαίρω,acclamazione,χαίρετε,,auto
ILA-286,"Lane, CMRDM I 17",formula-fissa,χρηστὸς χαῖρε,saluto-funerario,Χρηστοὶ χαίρετε,,auto
ILA-132,"Lane, CMRDM I 144",formula-fissa,ἐπεξορκίζω,imprecazione,Ἐπεξορκίζομεν,,auto
ILA-094,"Lane, CMRDM I 5",formula-fissa,ὗε κύε,formula-pioggia,ὕε κύε,,auto
ILA-285,"Lane, CMRDM I 16",ruolo-istituzione,-ιασταί,associazione,Ἁλιαστᾶν,,auto
ILA-286,"Lane, CMRDM I 17",ruolo-istituzione,-ιασταί,associazione,Μηνιαστᾶν,,auto
ILA-007,"Lane, CMRDM I 35",ruolo-istituzione,θρέμμα,status-allevato,θρεμμάτων,,auto
ILA-050,"Lane, CMRDM I 81",ruolo-istituzione,θρέμμα,status-allevato,θρεμμά,,auto
ILA-011,"Lane, CMRDM I 39",ruolo-istituzione,θρεπτός,status-allevato,θρεπτοῦ,,auto
ILA-041,"Lane, CMRDM I 71",ruolo-istituzione,θρεπτός,status-allevato,θρεπτή,,auto
ILA-105,"Lane, CMRDM I 260",ruolo-istituzione,θρεπτός,status-allevato,θρεπτῷ,,auto
ILA-136,"Lane, CMRDM I 148",ruolo-istituzione,θρεπτός,status-allevato,θρεπτοὺς,,auto
ILA-180,"Lane, CMRDM I 192",ruolo-istituzione,θρεπτός,status-allevato,θρεπτοῦ,,auto
ILA-190,"Lane, CMRDM I 202",ruolo-istituzione,θρεπτός,status-allevato,θρεπτοῦ,,auto
ILA-196,"Lane, CMRDM I 208",ruolo-istituzione,θρεπτός,status-allevato,θρεπτοῦ,,auto
ILA-233,"Lane, CMRDM I 245",ruolo-istituzione,θρεπτός,status-allevato,θρεπτῶν,,auto
ILA-250,"Lane, CMRDM I 263",ruolo-istituzione,θρεπτός,status-allevato,θρεπτοῖς,,auto
ILA-251,"Lane, CMRDM I 264",ruolo-istituzione,θρεπτός,status-allevato,θρεπτῶν,,auto
ILA-274,"Lane, CMRDM I 287",ruolo-istituzione,θρεπτός,status-allevato,θρεπτῶν,,auto
ILA-275,"Lane, CMRDM I 288",ruolo-istituzione,θρεπτός,status-allevato,θρεπτοῦ,,auto
ILA-278,"Lane, CMRDM I 291",ruolo-istituzione,θρεπτός,status-allevato,θρεπτοῦ,,auto
ILA-033,"Lane, CMRDM I 62",ruolo-istituzione,κατοικία,comunita,κατοικία,,auto
ILA-045,"Lane, CMRDM I 75",ruolo-istituzione,κατοικία,comunita,κατοικίας,,auto
ILA-046,"Lane, CMRDM I 76",ruolo-istituzione,κατοικία,comunita,κατοικίας,,auto
ILA-056,"Lane, CMRDM I 88",ruolo-istituzione,κατοικία,comunita,κατοικία,,auto
ILA-096,"Lane, CMRDM I 7",ruolo-istituzione,στολιστής,sacerdozio,στολιστὴς,,auto
ILA-028,"Lane, CMRDM I 57",ruolo-istituzione,συνβολαφόρος,associazione,συνβολαφόροι,,auto
ILA-171,"Lane, CMRDM I 183",ruolo-istituzione,σύνοδος,associazione,σύνοδο,,auto
ILA-151,"Lane, CMRDM I 163",ruolo-istituzione,τρέφω,status-allevato,θρέψαντο,,manuale
ILA-055,"Lane, CMRDM I 87",ruolo-istituzione,φράτρα,associazione,φράτρα,,auto
ILA-116,"Lane, CMRDM I 127",ruolo-istituzione,φράτρα,associazione,φράτρα,,auto
ILA-156,"Lane, CMRDM I 168",ruolo-istituzione,ἀρχιερεύς,sacerdozio,ἀρχιερέως,,auto
ILA-158,"Lane, CMRDM I 170",ruolo-istituzione,ἀρχιερεύς,sacerdozio,ἀρχιερέως,,auto
ILA-159,"Lane, CMRDM I 171",ruolo-istituzione,ἀρχιερεύς,sacerdozio,ἀρχιερέως,,auto
ILA-160,"Lane, CMRDM I 172",ruolo-istituzione,ἀρχιερεύς,sacerdozio,ἀρχιερέως,,auto
ILA-161,"Lane, CMRDM I 173",ruolo-istituzione,ἀρχιερεύς,sacerdozio,ἀρχιερέως,,auto
ILA-162,"Lane, CMRDM I 174",ruolo-istituzione,ἀρχιερεύς,sacerdozio,ἀρχιερέως,,auto
ILA-071,"Lane, CMRDM I 103",ruolo-istituzione,ἱερατεύω,sacerdozio,ἱερατεύων,,auto
ILA-086,"Lane, CMRDM I 118",ruolo-istituzione,ἱερεύς,sacerdozio,ἱερεύσαντα,,auto
ILA-096,"Lane, CMRDM I 7",ruolo-istituzione,ἱερεύς,sacerdozio,Ἱερεὺς,,auto
ILA-097,"Lane, CMRDM I 8",ruolo-istituzione,ἱερεύς,sacerdozio,ἱερέας,,manuale
ILA-110,"Lane, CMRDM I 28",ruolo-istituzione,ἱερεύς,sacerdozio,ἱερέως,,auto
ILA-118,"Lane, CMRDM I 129",ruolo-istituzione,ἱερεύς,sacerdozio,ἱερεὺς,,auto
ILA-149,"Lane, CMRDM I 161",ruolo-istituzione,ἱερεύς,sacerdozio,ἱερεὺς,,auto
ILA-152,"Lane, CMRDM I 164",ruolo-istituzione,ἱερεύς,sacerdozio,ἱερέως,,auto
ILA-153,"Lane, CMRDM I 165",ruolo-istituzione,ἱερεύς,sacerdozio,ἱερέως,,auto
ILA-154,"Lane, CMRDM I 166",ruolo-istituzione,ἱερεύς,sacerdozio,ἱερέως,,auto
ILA-155,"Lane, CMRDM I 167",ruolo-istituzione,ἱερεύς,sacerdozio,ἱερέως,,auto
ILA-136,"Lane, CMRDM I 148",formula-fissa,ὁρκίζω,imprecazione,Ὀρχίσζω,,auto
ILA-144,"Lane, CMRDM I 156",formula-fissa,ἐνορκίζω,imprecazione,ἐνορκίζω,,auto
