scheda,fonte,riferimento,regione,similarita,divergenze,tipi,esempi,car_stampa,car_corpus
ILA-179,cmrdm-i,"CMRDM I 191","Asia Minor",0.988,2,"lettera","τ→∅ · ι→∅",86,84
ILA-131,cmrdm-i,"CMRDM I 143","Asia Minor",0.991,0,"","",115,113
ILA-012,cmrdm-i,"CMRDM I 40","Asia Minor",0.991,1,"lettera","∅→μ",57,58
ILA-143,cmrdm-i,"CMRDM I 155","Asia Minor",0.991,0,"","",176,173
ILA-037,cmrdm-i,"CMRDM I 66","Asia Minor",0.992,1,"lettera","χ→κ",122,122
ILA-040,cmrdm-i,"CMRDM I 70","Asia Minor",0.997,0,"","",199,198
ILA-001,cmrdm-i,"CMRDM I 29","Asia Minor",1.000,0,"","",41,41
ILA-054,cmrdm-i,"CMRDM I 86","Asia Minor",1.000,0,"","",74,74
ILA-097,cmrdm-i,"CMRDM I 8","Graecia",1.000,0,"","",52,52
ILA-187,cmrdm-i,"CMRDM I 199","Asia Minor",1.000,0,"","",49,49
ILA-233,cmrdm-i,"CMRDM I 245","Asia Minor",1.000,0,"","",107,107
ILA-287,cmrdm-i,"CMRDM I 18","Graecia",1.000,0,"","",10,10
ILA-288,cmrdm-i,"CMRDM I 19","Graecia",1.000,0,"","",16,16
