scheda,fonte,riferimento,regione,similarita,divergenze,tipi,esempi,car_stampa,car_corpus
ILA-221,cmrdm-i,"CMRDM I 233","Asia Minor",0.800,1,"breve","υ→ετα τεκνων μ",29,41
ILA-241,cmrdm-i,"CMRDM I 253","Asia Minor",0.803,8,"numerale breve lettera","'→τεκ · ∅→ρευ · ∅→ασ · ∅→μ · ∅→τα τεκ · ∅→ων",53,64
ILA-062,cmrdm-i,"CMRDM I 94","Asia Minor",0.804,3,"lettera breve","∅→ρ · ∅→υπερ π · ∅→ιδιων α",41,51
ILA-207,cmrdm-i,"CMRDM I 219","Asia Minor",0.805,2,"lettera blocco","ι→∅ · αι εννελν ιν εοοοοοοευουεε→∅",92,62
ILA-053,cmrdm-i,"CMRDM I 85","Asia Minor",0.806,4,"breve","τωοοπ→∅ · ωυωωιζ λ τ→∅ · η υ→∅ · ∅→ετουσ σξθ μηνοσ",110,101
ILA-242,cmrdm-i,"CMRDM I 254","Asia Minor",0.806,6,"lettera breve","∅→γ · ∅→και και υι · ∅→ν · ∅→γ φλαου · ν→∅ · τ τ τ τσ τσ ν→∅",106,105
ILA-213,cmrdm-i,"CMRDM I 225","Asia Minor",0.808,6,"lettera breve","χ→κ · ∅→γ · ε→∅ · ννν→∅ · ον ευ→∅ · ∅→ι",53,46
ILA-005,cmrdm-i,"CMRDM I 33","Asia Minor",0.812,3,"breve blocco","ετουσ σζ μη νοσ ξ→∅ · νδικου βι κατα επιταγην μηνοσ αρτεμιδω α→∅ · γα→η",198,137
ILA-262,cmrdm-i,"CMRDM I 275","Asia Minor",0.813,4,"breve lettera","ο ο υυι→∅ · ∅→η · ∅→ριτοσ τ · ι→∅",49,47
ILA-049,cmrdm-i,"CMRDM I 79","Asia Minor",0.814,47,"lettera breve blocco numerale","χ→κ · ζ→∅ · ∅→μ · υ→∅ · γψχζ→δομ · ν→∅",773,684
ILA-017,cmrdm-i,"CMRDM I 46","Asia Minor",0.818,8,"lettera breve","ξ→ω · ες→τροφ · ∅→μοσ · ∅→ευξαμε · η ν→∅ · ο→ρ",88,88
ILA-134,cmrdm-i,"CMRDM I 146","Asia Minor",0.820,9,"breve lettera","∅→ελευθερ · ∅→σ · λ→τη γυ · ν→αικι · ∅→τι · λευ→ια",80,103
ILA-074,cmrdm-i,"CMRDM I 106","Asia Minor",0.822,1,"breve","∅→ευσ αππασ υει",40,50
ILA-083,cmrdm-i,"CMRDM I 115","Asia Minor",0.824,2,"breve","∅→ξευ · ∅→αγονην",21,30
ILA-266,cmrdm-i,"CMRDM I 279","Asia Minor",0.824,5,"lettera breve","χ→κ · ∅→κνου · ∅→τιτ · ∅→ουισεννο υ · ∅→μου",66,87
ILA-072,cmrdm-i,"CMRDM I 104","Asia Minor",0.826,3,"breve lettera","ο οι νψ νε→∅ · σ→∅ · νι→∅",64,45
ILA-229,cmrdm-i,"CMRDM I 241","Asia Minor",0.833,2,"lettera breve","χ→κ · ∅→ναικοσ και τεκνου",57,75
ILA-031,cmrdm-i,"CMRDM I 60","Asia Minor",0.834,4,"breve lettera","∅→θεα αναειτι και · ∅→ηνι τιαμου μ · χ→∅ · ∅→ε",80,107
ILA-008,cmrdm-i,"CMRDM I 36","Asia Minor",0.835,2,"breve","∅→ρειπαρεν · ευ τ→∅",44,47
ILA-110,cmrdm-i,"CMRDM I 28","Asia Minor",0.838,60,"lettera breve blocco numerale","ι→∅ · η→∅ · ιου απολλ→∅ · οσ κ→∅ · σαυλ→∅ · δδηνο→∅",1792,1326
ILA-046,cmrdm-i,"CMRDM I 76","Asia Minor",0.841,50,"breve lettera","ισα→∅ · ∅→εδωκε · ∅→ημει · α→τ · δ→∅ · ∅→ι",697,747
ILA-217,cmrdm-i,"CMRDM I 229","Asia Minor",0.841,1,"numerale","υιοσ δι ' εκ σσ→∅",73,53
ILA-133,cmrdm-i,"CMRDM I 145","Asia Minor",0.842,18,"lettera breve","χ→κ · ∅→κ · ∅→ι · ∅→κλα · ∅→δια γυναι · χ→κ",173,181
ILA-009,cmrdm-i,"CMRDM I 37","Asia Minor",0.843,3,"lettera breve","β→∅ · ριιϑι αγο αθδ γα→∅ · π→∅",96,70
ILA-153,cmrdm-i,"CMRDM I 165","Asia Minor",0.844,12,"breve lettera","∅→επ · ∅→θ · π→του δ · ∅→α · υ→βι · ∅→υ",104,133
ILA-276,cmrdm-i,"CMRDM I 289","Asia Minor",0.844,6,"lettera breve","∅→α · ∅→μ · ∅→γνιλλα · χ→κ · σ→α · υ→∅",42,48
ILA-026,cmrdm-i,"CMRDM I 55","Asia Minor",0.846,9,"breve lettera blocco","τ α→∅ · γ→ν · η→∅ · ν→υ · ∅→γ · τ→∅",270,203
ILA-182,cmrdm-i,"CMRDM I 194","Asia Minor",0.846,3,"breve lettera","μινοκ→∅ · ∅→εκνων · υ→∅",40,38
ILA-044,cmrdm-i,"CMRDM I 74","Asia Minor",0.851,2,"breve lettera","∅→αρτεμιδι αναειτι · υ→∅",60,74
ILA-200,cmrdm-i,"CMRDM I 212","Asia Minor",0.852,4,"lettera","γ→υ · γ→ν · γ→ν · χ→κ",31,30
ILA-104,cmrdm-i,"CMRDM I 83","Asia Minor",0.857,4,"breve lettera","ειισ→τω · οσ→ω · ∅→ν · ∅→ουρανοισ",63,70
ILA-208,cmrdm-i,"CMRDM I 220","Asia Minor",0.857,4,"breve lettera","∅→μηνι ευχην · ι→∅ · χ→κ · ρ→υ",59,67
ILA-103,cmrdm-i,"CMRDM I 80","Asia Minor",0.858,13,"lettera breve numerale","ι→∅ · ι→∅ · ζ→∅ · ι→∅ · νοσ εαν ληψεται με δ→∅ · χ→κ",235,217
ILA-152,cmrdm-i,"CMRDM I 164","Asia Minor",0.860,8,"breve lettera","∅→θετου · ∅→γ ουλ · ∅→ρ · ο→∅ · ∅→κλαυδιο · ∅→μαρκιανον ν",156,188
ILA-258,cmrdm-i,"CMRDM I 271","Asia Minor",0.862,3,"lettera breve","ζ→∅ · ∅→σκ · χο→∅",35,30
ILA-203,cmrdm-i,"CMRDM I 215","Asia Minor",0.862,1,"breve","ρεσηδρϑβ γαμοσ→∅",62,47
ILA-265,cmrdm-i,"CMRDM I 278","Asia Minor",0.863,3,"lettera breve","ι→∅ · ρ→∅ · ∅→τροφον μηνι",46,56
ILA-014,cmrdm-i,"CMRDM I 42","Asia Minor",0.871,5,"breve blocco lettera","∅→νη · ∅→και μισ λαβανασ και μισ α · ∅→τεμιδωρ · ∅→δορου · ∅→ε",156,193
ILA-234,cmrdm-i,"CMRDM I 246","Asia Minor",0.875,4,"breve lettera","τς→∅ · τ→∅ · σ→∅ · ε→∅",36,28
ILA-018,cmrdm-i,"CMRDM I 47","Asia Minor",0.876,10,"breve blocco lettera","ττα ο α→∅ · ∅→πι · ∅→τροφιμη αρτεμιδωρου · ∅→κι · ∅→θεου εισ υπηρεσιασ χαριν μη · ες υ ε κα→∅",337,359
ILA-116,cmrdm-i,"CMRDM I 127","Asia Minor",0.877,3,"breve lettera","∅→οι περι · ∅→υ · ∅→αρ",52,62
ILA-261,cmrdm-i,"CMRDM I 274","Asia Minor",0.880,1,"breve","χ→δοσ ιδιων τεκ",57,68
ILA-029,cmrdm-i,"CMRDM I 58","Asia Minor",0.882,11,"lettera breve","ι→∅ · γ→∅ · ωχ→υ · χ→κ · ∅→δωκεν · ∅→ο θ",169,196
ILA-263,cmrdm-i,"CMRDM I 276","Asia Minor",0.885,4,"lettera","υ→∅ · ι→∅ · η→∅ · τ→∅",29,23
ILA-194,cmrdm-i,"CMRDM I 206","Asia Minor",0.889,2,"breve lettera","∅→ισ · ο→ρ",21,24
ILA-280,cmrdm-i,"CMRDM I 293","Asia Minor",0.892,4,"breve lettera","νν→π · ∅→κλαυδιοσ · ι→∅ · ι→∅",82,84
ILA-257,cmrdm-i,"CMRDM I 270","Asia Minor",0.895,6,"lettera breve","χ→κ · ω→∅ · χ→κ · ∅→πιαδου · ∅→κα · ∅→κοι",81,91
ILA-285,cmrdm-i,"CMRDM I 16","Graecia",0.896,24,"breve lettera","β→τιμαθ · γε→ντοσ · ε→υ · ∅→ο αλ · ∅→ασταν · π→αθαναιασταν",360,388
ILA-064,cmrdm-i,"CMRDM I 96","Asia Minor",0.898,3,"lettera breve","ι→∅ · υ→η · τηισ→∅",53,45
ILA-157,cmrdm-i,"CMRDM I 169","Asia Minor",0.898,9,"lettera breve","γ→∅ · χ→κ · ∅→και γ φλαιου · ∅→α · ∅→βι · ι→∅",140,145
ILA-202,cmrdm-i,"CMRDM I 214","Asia Minor",0.899,4,"lettera","∅→ρ · χ→κ · χ→κ · υ→η",34,35
ILA-065,cmrdm-i,"CMRDM I 97","Asia Minor",0.900,4,"lettera","γ→ν · υ→∅ · ι→∅ · ∅→ι",31,29
ILA-032,cmrdm-i,"CMRDM I 61","Asia Minor",0.900,7,"lettera breve","χ→∅ · ν→∅ · ∅→γ · ∅→των · ∅→και μη ιδ · ∅→τω",137,154
ILA-011,cmrdm-i,"CMRDM I 39","Asia Minor",0.900,2,"breve","ι ετ→∅ · υσ τιγ μη νοσ γο→∅",116,95
ILA-222,cmrdm-i,"CMRDM I 234","Asia Minor",0.902,1,"breve","ιλ→α",25,26
ILA-045,cmrdm-i,"CMRDM I 75","Asia Minor",0.910,14,"lettera breve blocco","ν→μ · ν→γ · ∅→ων · ∅→αυτου δια τ · ∅→τουτο καθιε · ∅→τροσ",508,586
ILA-151,cmrdm-i,"CMRDM I 163","Asia Minor",0.912,5,"lettera breve","ι→∅ · ι→∅ · τενδ ευ σ→χ · σι→ρω · επ ευτυχιαισ→∅",188,163
ILA-041,cmrdm-i,"CMRDM I 71","Asia Minor",0.914,7,"lettera breve","∅→ε · ∅→π · χ→κ · ∅→ινα μη τι · ∅→προσαμαρ · ∅→τη στη",178,205
ILA-162,cmrdm-i,"CMRDM I 174","Asia Minor",0.916,9,"lettera breve numerale","ι→∅ · ∅→ων · ∅→πατρωνοσ τησ · ' μν χφ φ→∅ · ννς ω→∅ · η→∅",319,301
ILA-171,cmrdm-i,"CMRDM I 183","Asia Minor",0.917,2,"lettera","ι→∅ · ι→∅",26,22
ILA-232,cmrdm-i,"CMRDM I 244","Asia Minor",0.917,3,"lettera","χ→κ · χ→κ · ω→∅",37,35
ILA-050,cmrdm-i,"CMRDM I 81","Asia Minor",0.919,4,"breve lettera","τ τσ τ ν→∅ · ν→∅ · κει→∅ · τ τσ λ τε ν σιν→∅",253,215
ILA-028,cmrdm-i,"CMRDM I 57","Asia Minor",0.922,2,"breve","με→∅ · οι ανεστη σαν→∅",138,118
ILA-158,cmrdm-i,"CMRDM I 170","Asia Minor",0.924,12,"breve lettera numerale","∅→νου · ∅→αυ · ∅→ο · ∅→ρο · ∅→πατρω · ∅→οσ τ",293,324
ILA-198,cmrdm-i,"CMRDM I 210","Asia Minor",0.926,2,"breve lettera","ευι→∅ · ν→υ",57,51
ILA-205,cmrdm-i,"CMRDM I 217","Asia Minor",0.927,0,"","",20,21
ILA-063,cmrdm-i,"CMRDM I 95","Asia Minor",0.927,2,"lettera breve","ι→∅ · γ ε→η",58,52
ILA-123,cmrdm-i,"CMRDM I 135","Asia Minor",0.927,12,"lettera numerale","ο→δ · χ→κ · '→∅ · ι→∅ · ι→∅ · γ→η",236,219
ILA-042,cmrdm-i,"CMRDM I 72","Asia Minor",0.928,2,"breve","∅→και τη γυναικι · υα ν→∅",148,156
ILA-071,cmrdm-i,"CMRDM I 103","Asia Minor",0.929,9,"numerale lettera breve","'→∅ · ι→∅ · υ→∅ · χ→∅ · ο→σ · ∅→ιι α ρ ιι ιι το μο",222,241
ILA-206,cmrdm-i,"CMRDM I 218","Asia Minor",0.931,2,"breve","∅→μη · υν→∅",29,29
ILA-039,cmrdm-i,"CMRDM I 68","Asia Minor",0.932,3,"breve lettera","γι→ηλ · ι→∅ · ∅→υ",75,71
ILA-038,cmrdm-i,"CMRDM I 67","Asia Minor",0.932,7,"lettera breve","χ→κ · γ→ν · υ→ι · ∅→ετ · ∅→σ · ∅→σ μ",226,229
ILA-115,cmrdm-i,"CMRDM I 126","Asia Minor",0.936,22,"lettera breve","δ→∅ · ιι→∅ · χ→κ · ω→∅ · χ→κ · χ→∅",598,605
ILA-273,cmrdm-i,"CMRDM I 286","Asia Minor",0.940,0,"","",44,39
ILA-255,cmrdm-i,"CMRDM I 268","Asia Minor",0.940,2,"lettera breve","ο→η · με→ι",60,57
ILA-136,cmrdm-i,"CMRDM I 148","Asia Minor",0.941,6,"lettera breve","τ→∅ · τ→∅ · ∅→ελευθερ · ∅→ν ο · κ→χ · τ→∅",195,194
ILA-218,cmrdm-i,"CMRDM I 230","Asia Minor",0.941,2,"lettera","χ→κ · υ→∅",34,34
ILA-113,cmrdm-i,"CMRDM I 124","Asia Minor",0.944,1,"lettera","ι→∅",19,17
